epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
42,54.9922,2.01598,1.2672,0.90285,0.44099,0.41176,0.36678,0.08769,3.09688,1.42481,1.13229,0.0035646,0.0011882,0.0035646,0.0011882,0.0035646,0.0011882,0.0035646,0.0011882
43,56.2641,2.0146,1.25564,0.90386,0.47676,0.41176,0.3572,0.08023,3.22362,1.46954,1.13809,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684
44,57.6032,2.04798,1.24041,0.87587,0.50183,0.41176,0.37157,0.09392,2.83491,1.56278,1.05469,0.0034458,0.0011486,0.0034458,0.0011486,0.0034458,0.0011486,0.0034458,0.0011486
45,58.8093,1.95657,1.19725,0.89447,0.45776,0.44118,0.39545,0.09487,3.04983,1.4675,1.13873,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288
46,60.0382,2.06854,1.23837,0.90709,0.42115,0.44118,0.34444,0.08651,3.10201,1.46322,1.12869,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109
47,61.1995,2.11883,1.27206,0.91379,0.41941,0.38244,0.3215,0.07693,2.83182,1.52599,1.02969,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892
48,62.5041,1.96559,1.2217,0.8823,0.44245,0.5,0.36967,0.09719,2.60049,1.52462,1.00614,0.0032082,0.0010694,0.0032082,0.0010694,0.0032082,0.0010694,0.0032082,0.0010694
49,63.7084,1.91216,1.29315,0.88875,0.50186,0.61765,0.50463,0.10159,2.78741,1.47998,1.07761,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496
50,64.8881,2.06042,1.16625,0.89511,0.39538,0.32353,0.30923,0.07941,2.84035,1.46472,1.08331,0.0030894,0.0010298,0.0030894,0.0010298,0.0030894,0.0010298,0.0030894,0.0010298
51,66.0457,1.87909,1.16582,0.88694,0.44651,0.44118,0.40791,0.08509,3.0697,1.41062,1.13563,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101
52,67.2937,1.7935,1.17049,0.89005,0.3419,0.55882,0.33027,0.08001,2.95131,1.45443,1.0842,0.0029706,0.0009902,0.0029706,0.0009902,0.0029706,0.0009902,0.0029706,0.0009902
53,68.3687,1.99823,1.16248,0.89251,0.41029,0.32353,0.27839,0.06125,2.95025,1.48792,1.04987,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704
54,69.6527,1.88828,1.16638,0.87855,0.39897,0.32353,0.2699,0.06645,3.06966,1.41957,1.12154,0.0028518,0.0009506,0.0028518,0.0009506,0.0028518,0.0009506,0.0028518,0.0009506
55,70.8571,1.88442,1.1616,0.89408,0.32358,0.37995,0.25902,0.06138,3.31377,1.464,1.1554,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308
56,72.2091,1.81823,1.10477,0.86594,0.35135,0.38235,0.26655,0.06791,3.02258,1.44435,1.04153,0.002733,0.000911,0.002733,0.000911,0.002733,0.000911,0.002733,0.000911
57,73.4139,1.84266,1.13368,0.86558,0.37986,0.38235,0.24966,0.0493,2.95543,1.42238,1.05474,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912
58,74.6452,1.83151,1.16676,0.89135,0.47115,0.38235,0.29364,0.06483,2.83599,1.39554,1.07819,0.0026142,0.0008714,0.0026142,0.0008714,0.0026142,0.0008714,0.0026142,0.0008714
59,75.8258,1.87644,1.11225,0.8786,0.45026,0.32353,0.24185,0.05841,2.95846,1.3461,1.08637,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516
60,77.1682,1.81423,1.10539,0.86953,0.46987,0.44118,0.40453,0.07952,2.98555,1.30733,1.1,0.0024954,0.0008318,0.0024954,0.0008318,0.0024954,0.0008318,0.0024954,0.0008318
61,78.2785,1.74467,1.06198,0.88136,0.41463,0.44118,0.39069,0.07227,3.00829,1.33439,1.09518,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
