epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
51,91.0263,1.82819,1.33774,1.05401,0.88068,0.6514,0.78515,0.25296,1.9166,1.33884,0.98963,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101
52,92.8161,1.75122,1.3558,1.06863,0.81525,0.70588,0.76313,0.26157,1.64603,1.27548,0.96561,0.0029706,0.0009902,0.0029706,0.0009902,0.0029706,0.0009902,0.0029706,0.0009902
53,94.4671,1.66399,1.29105,1.07251,0.86456,0.61765,0.77698,0.25865,1.72512,1.24038,0.96425,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704
54,96.1452,1.69309,1.40091,1.07211,0.76675,0.67681,0.75584,0.25349,1.63936,1.2414,0.95851,0.0028518,0.0009506,0.0028518,0.0009506,0.0028518,0.0009506,0.0028518,0.0009506
55,97.7915,1.66246,1.28864,1.08036,0.63685,0.77385,0.7174,0.26164,1.6023,1.28791,0.95313,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308
56,99.5717,1.7585,1.31675,1.05665,0.64968,0.76367,0.71198,0.26284,1.95211,1.30381,0.98835,0.002733,0.000911,0.002733,0.000911,0.002733,0.000911,0.002733,0.000911
57,101.222,1.7406,1.21914,1.05092,0.65087,0.70588,0.69185,0.25089,1.99574,1.26575,1.00369,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912
58,102.863,1.6792,1.29012,1.01872,0.80096,0.59189,0.71917,0.27258,1.72719,1.21669,0.97872,0.0026142,0.0008714,0.0026142,0.0008714,0.0026142,0.0008714,0.0026142,0.0008714
59,104.494,1.79325,1.3782,1.07372,0.78284,0.55882,0.64675,0.26281,1.64291,1.21755,0.97337,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516
60,106.274,1.78411,1.34467,1.04947,0.65216,0.70588,0.72973,0.28582,1.64679,1.23171,0.95427,0.0024954,0.0008318,0.0024954,0.0008318,0.0024954,0.0008318,0.0024954,0.0008318
61,107.96,1.63442,1.20186,1.0338,0.70231,0.76331,0.73777,0.28275,1.71064,1.21018,0.96184,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
62,109.598,1.67058,1.19035,1.02986,0.69017,0.76471,0.73599,0.28846,1.72135,1.1664,0.96228,0.0023766,0.0007922,0.0023766,0.0007922,0.0023766,0.0007922,0.0023766,0.0007922
63,111.246,1.62221,1.1604,1.00058,0.6608,0.74504,0.73372,0.28669,1.65601,1.17479,0.95958,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724
